epoch,loss,running_acc,acc,running_nmi,nmi
1,-0.0032816492762827287,0.24395161290322578,0.22085308056872038,0.08445075788979438,0.011898426700228436
2,-0.045860263156808086,0.2810119847670251,0.23175355450236967,0.08389254961455639,0.031675091224709545
3,-0.023394792651136715,0.27195340501792115,0.22654028436018958,0.055692170655667415,0.03143686277277942
4,-0.005660969958019753,0.29571292562724016,0.27109004739336495,0.031413464509966606,0.027333656599639107
5,-0.0006123265201394032,0.32143257168458783,0.3085308056872038,0.018542565529466346,0.03220197419313545
6,-0.0016599682405487532,0.31073588709677424,0.3018957345971564,0.020008557152437,0.03273238074405167
7,-0.0021601932045693197,0.3194304435483871,0.3,0.028237550118706864,0.029114594718133022
8,-0.000679233682940803,0.3165462589605735,0.3042654028436019,0.01171215255569864,0.03240778949746502
9,-5.562374562687045e-13,0.3201304883512545,0.3127962085308057,7.362529602578217e-17,0.03273514492248586
10,-5.562374562687045e-13,0.31420810931899645,0.3109004739336493,2.5269974828468264e-17,0.032919531976484645
11,-5.562374562687045e-13,0.31605622759856633,0.3080568720379147,7.935582563894189e-17,0.033057392913368
12,-5.562374562687045e-13,0.3201304883512545,0.30947867298578197,3.338445923905637e-17,0.03301538092123132
13,-5.562374562687045e-13,0.3187724014336918,0.3109004739336493,7.286130753285485e-17,0.03289640291039354
14,-5.562374562687045e-13,0.3228466621863799,0.3085308056872038,6.59393555323173e-17,0.033052118958840436
15,-5.562374562687045e-13,0.31741431451612906,0.3075829383886256,3.3582706592074193e-17,0.03307347599954111
16,-5.562374562687045e-13,0.32148857526881724,0.30995260663507107,3.369558641872065e-17,0.03301374920944424
17,-5.562374562687045e-13,0.32148857526881724,0.3080568720379147,7.456136560173142e-17,0.033070888474832
18,-5.562374562687045e-13,0.32827900985663083,0.3113744075829384,5.343712718468724e-17,0.03284239066269549
19,-5.562374562687045e-13,0.3201304883512545,0.3118483412322275,0.0,0.03289554865253539
20,-5.562374562687045e-13,0.3201304883512545,0.3080568720379147,9.560111744909107e-17,0.03311516465637015
