epoch,loss,running_acc,acc,running_nmi,nmi
1,-0.39344818719052016,0.14236598782771534,0.12719760900140648,0.2515836909892277,0.13113670938785663
2,-0.8580326310704264,0.16549625468164794,0.13941631504922644,0.353815419591423,0.17274744266835584
3,-1.1384491066584426,0.1836815308988764,0.13475738396624473,0.43127243578122,0.1971057141936754
4,-1.2695266570937767,0.20003803838951312,0.13897679324894516,0.46789540587583023,0.20825527219088544
5,-1.3619268563356293,0.2035053838951311,0.1365154711673699,0.4817758754588491,0.19891076397111865
6,-1.4014048790663816,0.20799683988764045,0.13585618846694797,0.487342223984382,0.2047749838302644
7,-1.4319213447945842,0.2094305945692884,0.13941631504922644,0.48982000309827733,0.2222079355080312
8,-1.4418997436427,0.2087868679775281,0.1327795358649789,0.48739478651710283,0.21135493941455777
9,-1.4587071109353826,0.20834796348314608,0.14499824191279886,0.489369082743498,0.22372109308730287
10,-1.4792661727144476,0.21757958801498126,0.15501933895921238,0.4998039755446753,0.225829501668323
11,-1.4916270301583108,0.21558988764044945,0.1451740506329114,0.5000416446514999,0.2358375137503355
12,-1.5286391183231653,0.22581636235955055,0.16112869198312235,0.5150172578962836,0.25096298289211827
13,-1.580879002474667,0.23680360486891383,0.16482067510548523,0.535837653998344,0.25261984183228187
14,-1.6261078226432373,0.24645950374531833,0.17216068917018285,0.5492388930567609,0.2526920309071408
15,-1.701185527142514,0.2564811563670412,0.17246835443037975,0.5680137004661764,0.2576677235123995
16,-1.7151266570841328,0.2459328183520599,0.15721694796061886,0.5625789150565909,0.2552747074865238
17,-1.7394985523116722,0.26006554307116103,0.16002988748241911,0.5713034715919251,0.25790304054517604
18,-1.7732182627313593,0.2687997425093633,0.16310654008438819,0.5860336347518184,0.262106636261968
19,-1.865213248167145,0.27362769194756553,0.17369901547116737,0.5993713420409765,0.28238204146947515
20,-1.8705316326591406,0.27435919943820225,0.17378691983122363,0.6027293609627012,0.27819123329296985
