epoch,loss,running_acc,acc,running_nmi,nmi
1,-0.0675757136195898,0.3183302528578529,0.2955665024630542,0.31785267365696296,0.24276231882745025
2,-0.23366662859916687,0.40705959555168986,0.3980295566502463,0.39155830624998345,0.37940612164721316
3,-0.3535316288471222,0.5162268576043738,0.5133004926108374,0.46415274906968595,0.4416439918609188
4,-0.43799808621406555,0.49611898918986086,0.4827586206896552,0.4701509129422927,0.44908985908448185
5,-0.5083653628826141,0.4464890345427436,0.43842364532019706,0.4526803261038936,0.44707225701460407
6,-0.5786363780498505,0.46912470489562624,0.4640394088669951,0.46574151191865354,0.45833411647222044
7,-0.6559852659702301,0.441571275472167,0.43448275862068964,0.4571187052542756,0.45082967883081765
8,-0.7299454212188721,0.44906925633697814,0.44236453201970444,0.46734942456467893,0.46042579603127337
9,-0.7987721562385559,0.4787854901838966,0.4729064039408867,0.48177802173747364,0.4716295656353534
10,-0.8635455071926117,0.4660552311133201,0.4630541871921182,0.49210559606150955,0.48089295661298836
