epoch,loss,running_acc,acc,running_nmi,nmi
1,-0.0006876708035861157,0.2275062368697479,0.20295566502463055,0.14463744862737757,0.046944505250953734
2,-0.04030769446399063,0.2362952993697479,0.18719211822660098,0.1290452584454599,0.03150105930262002
3,-0.010384142420662101,0.19686351102941177,0.2206896551724138,0.056550355304011334,0.08235675400240573
4,-0.0007971670693223132,0.19505810136554622,0.21182266009852216,0.025410004727768446,0.09477452157723736
5,-0.005473466390937072,0.19115185136554622,0.21182266009852216,0.03398419160119412,0.08458065754802838
6,-5.562374562687045e-13,0.1810907956932773,0.21083743842364533,0.0,0.09198129085791833
7,-5.562374562687045e-13,0.17943310136554622,0.20985221674876847,0.0,0.09393466724886039
8,-5.562374562687045e-13,0.189124868697479,0.21083743842364533,0.0,0.09401119946441405
9,-5.562374562687045e-13,0.18544019170168066,0.20788177339901479,0.0,0.09382272354351345
10,-5.562374562687045e-13,0.17711068802521007,0.20591133004926107,0.0,0.09241357313447243
11,-5.562374562687045e-13,0.1928095456932773,0.21182266009852216,0.0,0.09399496478506518
12,-5.562374562687045e-13,0.187171743697479,0.20788177339901479,0.0,0.09272038496178497
13,-5.562374562687045e-13,0.18882943802521007,0.21280788177339902,2.681223101127827e-17,0.09303433790348357
14,-5.562374562687045e-13,0.18221507352941177,0.21083743842364533,0.0,0.09334310615044165
15,-5.562374562687045e-13,0.17928538602941177,0.21379310344827587,2.6225140397834477e-17,0.09325907599978138
16,-5.562374562687045e-13,0.17418100052521007,0.20886699507389161,0.0,0.09320935370525568
17,-5.562374562687045e-13,0.17237559086134455,0.21182266009852216,2.6314649026593425e-17,0.09272344812238789
18,-5.562374562687045e-13,0.185218618697479,0.20886699507389161,0.0,0.0918342905400755
19,-5.562374562687045e-13,0.180335806197479,0.21083743842364533,0.0,0.09115935375586404
20,-5.562374562687045e-13,0.1830439206932773,0.20886699507389161,0.0,0.09260372567089979
21,-5.562374562687045e-13,0.17898995535714285,0.20394088669950738,0.0,0.09382993932489792
22,-5.562374562687045e-13,0.18221507352941177,0.20591133004926107,0.0,0.09297047932037673
23,-5.562374562687045e-13,0.18333935136554622,0.21182266009852216,0.0,0.09502072901376041
24,-5.562374562687045e-13,0.19093027836134455,0.20689655172413793,2.6869275375183316e-17,0.09160486656813258
25,-5.562374562687045e-13,0.17357372636554622,0.20886699507389161,0.0,0.0932230328266351
26,-5.562374562687045e-13,0.1820673581932773,0.20985221674876847,2.6661308686049903e-17,0.0950477617557593
27,-5.562374562687045e-13,0.1874671743697479,0.21182266009852216,2.5895241644845177e-17,0.09326141674501413
28,-5.562374562687045e-13,0.18026194852941177,0.20886699507389161,0.0,0.09371666558775339
29,-5.562374562687045e-13,0.18536633403361344,0.20591133004926107,0.0,0.09221990498239449
30,-5.562374562687045e-13,0.18807444852941177,0.21083743842364533,2.6158158808512123e-17,0.09310583457566139
31,-5.562374562687045e-13,0.181312368697479,0.20886699507389161,0.0,0.09257635088664513
32,-5.562374562687045e-13,0.18311777836134455,0.20985221674876847,0.0,0.09355757362963403
33,-5.562374562687045e-13,0.180335806197479,0.20689655172413793,0.0,0.09335325307493943
34,-5.562374562687045e-13,0.191077993697479,0.21379310344827587,2.6070307106991868e-17,0.09333295678910053
35,-5.562374562687045e-13,0.18319163602941177,0.20788177339901479,0.0,0.09276848783662421
36,-5.562374562687045e-13,0.18680245535714285,0.20689655172413793,2.6932727001562945e-17,0.09542896443379971
37,-5.562374562687045e-13,0.19384355304621848,0.20689655172413793,4.7954931500614646e-17,0.09396975845480679
38,-5.562374562687045e-13,0.17830882352941177,0.21083743842364533,2.6252180519629908e-17,0.09323064898581558
39,-5.562374562687045e-13,0.1791376706932773,0.20886699507389161,0.0,0.0916029757410868
40,-5.562374562687045e-13,0.17853039653361344,0.20886699507389161,0.0,0.09403943953284899
