epoch,loss,running_acc,acc,running_nmi,nmi
1,1.212177749723196,0.25393425179211465,0.2037914691943128,0.0858991755939296,0.011949715885386967
2,0.02131493679351277,0.2676131272401434,0.23507109004739338,0.0720681209822081,0.011633828133336015
3,0.012910724100139406,0.2445536514336918,0.1981042654028436,0.07714887797093328,0.00840764497587645
4,0.00896719636188613,0.24313956093189967,0.2099526066350711,0.07237242759270976,0.012518640998945469
5,0.003160289372317493,0.25784050179211465,0.23033175355450236,0.07138763951542249,0.011936607842665974
6,0.00041287460933542915,0.2568744399641577,0.23270142180094786,0.06258442693992707,0.007955414724683512
7,0.0001962811446800414,0.26680107526881724,0.23033175355450236,0.06597110794110432,0.008484451289536885
8,0.00011890451908887674,0.25632840501792115,0.21943127962085307,0.0727836729727475,0.008493869681890785
9,7.981689122971147e-05,0.2532342069892473,0.22369668246445498,0.07462388741409066,0.008548085096975615
10,5.730857729860064e-05,0.2539902553763441,0.24549763033175356,0.07360690243073166,0.013013824220306548
11,4.1459658758766535e-05,0.23793122759856633,0.22985781990521326,0.07094805829436991,0.008226570201612418
12,2.8342198574035945e-05,0.2451556899641577,0.22037914691943128,0.07395818772266395,0.00870761362597019
13,2.0847107710627217e-05,0.24395161290322578,0.22559241706161137,0.06915233682071256,0.01321746023157875
14,1.4525535031377027e-05,0.248025873655914,0.2161137440758294,0.07479413357028757,0.012468188149161365
15,9.337533507884169e-06,0.25144209229390685,0.21706161137440758,0.07747642266806405,0.00824539063736699
16,6.071816137086393e-06,0.2596886200716846,0.218957345971564,0.08275368269184818,0.013408932733726151
17,4.033516840233157e-06,0.259100582437276,0.21184834123222748,0.07721803313231689,0.01215611284531146
18,2.835670683351863e-06,0.2635388664874552,0.23649289099526066,0.08188166674187508,0.014417549607698938
19,1.8493774405214936e-06,0.2541022625448029,0.2241706161137441,0.07908448588462846,0.015545974475151648
20,1.5130454913661297e-06,0.2666890681003584,0.23080568720379147,0.07436242660864194,0.01039896038458059
