epoch,loss,running_acc,acc,running_nmi,nmi
1,-1.0499664190211568,0.24235679173354735,0.039688818565400845,0.5885422729267153,0.0677249535792775
2,-2.0833001016231067,0.14400456460674158,0.048874824191279885,0.3865356152239458,0.03810220999284247
3,-0.2806861007725186,0.07768609550561797,0.07159810126582279,0.0496950340504842,0.01794627061168427
4,0.0,0.07272020465489566,0.07441104078762306,0.0,0.01580861270816672
5,0.5517893423861158,0.07280171548956661,0.07449894514767932,0.0009476877547299678,0.016310045396082395
6,6.297970626178953e-47,0.0735854735152488,0.07454289732770746,0.0,0.015808159571497615
7,0.0,0.0748520264847512,0.07445499296765119,0.0,0.01580553580140125
8,0.0,0.07305878812199038,0.07463080168776372,0.0,0.015794463406036904
9,0.0,0.07288322632423756,0.07458684950773559,0.0,0.015833437893355652
10,1.5744926565447382e-46,0.07356666332263243,0.07436708860759493,0.0,0.01581511811651745
11,0.0,0.07261361356340289,0.07463080168776372,0.0,0.015833432390905046
12,0.0,0.07200541733547353,0.07449894514767932,0.0,0.0158038482865081
13,3.36941428500574e-44,0.07359174357945425,0.07471870604781997,0.0,0.015799746467591576
14,6.770318423142375e-46,0.07252583266452647,0.07449894514767932,0.0,0.015801811964606303
15,0.0,0.07274528491171749,0.07436708860759493,0.0,0.015852794192140855
16,9.44695593926843e-47,0.0729208467094703,0.07463080168776372,0.0,0.01582537621909146
17,5.983072094870005e-46,0.07213708868378813,0.07449894514767932,0.0,0.015797790090872565
18,0.0,0.07265750401284109,0.07458684950773559,0.0,0.01581227344628082
19,0.0,0.07251956260032102,0.07454289732770746,0.0,0.015813651190623678
20,8.974608142305008e-46,0.07268885433386837,0.07480661040787623,0.0,0.01579465022714697
