epoch,loss,running_acc,acc,running_nmi,nmi
1,-0.7822458167518541,0.1497249531835206,0.09774964838255977,0.3418093959676779,0.1480019100184752
2,-1.3878773665160276,0.1751814138576779,0.12645042194092826,0.4075432327396016,0.18058402671210969
3,-1.6763481531250344,0.19368855337078653,0.13844936708860758,0.45963760574712703,0.19102568957851626
4,-1.8790756477398818,0.2070605102996255,0.11880274261603375,0.4970867840873749,0.163147894228523
5,-1.9708897143267514,0.22220271535580527,0.12209915611814345,0.5124191836431055,0.17303918010125544
6,-2.0948922580547547,0.23493094569288392,0.15031645569620253,0.5318967018041589,0.19043183446346526
7,-2.144804487067662,0.2343311095505618,0.1565576652601969,0.5380070528735864,0.22365778306508963
8,-2.156606011176377,0.2323706694756554,0.15726090014064698,0.5343686519490274,0.2148629891173614
9,-2.177746617392208,0.22795236423220974,0.1499648382559775,0.5303130017534227,0.21657586637913248
10,-2.215994248229466,0.2420265683520599,0.16649085794655416,0.5453871575822539,0.2311109243733356
11,-2.2379052759556286,0.23956870318352058,0.15229430379746836,0.5473774814582093,0.20273371773437657
12,-2.227481101336104,0.23509187734082396,0.1155942334739803,0.548513222517134,0.1676828046075039
13,-2.280212485388424,0.24379681647940077,0.14737165963431786,0.5534934034952839,0.19337339180932023
14,-2.3350768035717224,0.24142673220973784,0.14715189873417722,0.5594217505546821,0.19491204405091556
15,-2.3346163945251637,0.2341701779026217,0.11700070323488045,0.5482695942725127,0.13756136898580995
16,-2.32440429457118,0.22540671816479402,0.12979078762306612,0.5426601555411404,0.14709417019439702
17,-2.3359507215156983,0.23422869850187267,0.13787798874824192,0.5520063785486725,0.1889479753419031
18,-2.3348491258835526,0.22199789325842698,0.1197696905766526,0.5464381811105037,0.18654122470202153
19,-2.392456511433205,0.22410463483146068,0.12280239099859352,0.550853328739834,0.17476936931791387
20,-2.414464388000831,0.22574321161048688,0.12113220815752461,0.5542601085098964,0.17416078925476808
