epoch,loss,running_acc,acc,running_nmi,nmi
1,-0.5719015468739801,0.1253720238095238,0.11427566807313642,0.24953547850480468,0.1461837910415286
2,-1.260762169626024,0.1583953373015873,0.1556786216596343,0.29664139160554553,0.20276527322319132
3,-1.55921614434984,0.16344246031746032,0.1553709563994374,0.32595953296508384,0.21823845388959773
4,-1.8048841555913289,0.16539558531746032,0.13506504922644164,0.3516288178701137,0.22394851414819272
5,-1.9902381393644544,0.17725694444444445,0.14583333333333334,0.38491582485747994,0.2389140346895501
6,-2.244694323009915,0.19813368055555555,0.16763361462728552,0.4185436760884527,0.2619226430716078
7,-2.3597079383002386,0.20220734126984127,0.1680731364275668,0.42342282534665077,0.2584058649435567
8,-2.398385853237576,0.2105282738095238,0.1805995077355837,0.4316022158326955,0.2715878640706277
9,-2.477367469999525,0.2164000496031746,0.18081926863572434,0.441850964279058,0.2771961021991341
10,-2.5447717189788817,0.22239583333333332,0.18591772151898733,0.4573388677031179,0.28578083915788105
11,-2.60544982486301,0.21770213293650795,0.18125879043600562,0.45777123675828824,0.28370187808591824
12,-2.6456971274481877,0.20768849206349205,0.16473277074542897,0.45704706236043585,0.27568582828970106
13,-2.7108573065863717,0.2203062996031746,0.17589662447257384,0.4707086667882963,0.2830181922877294
14,-2.749151039123535,0.22282366071428572,0.17774261603375527,0.4740864448710968,0.27996217160281234
15,-2.8743847370147706,0.22612227182539685,0.17906118143459915,0.47249278531851757,0.2766865584512057
16,-2.9231127156151664,0.23333333333333334,0.19356540084388185,0.47940980383213244,0.2925235965448171
17,-2.9829069667392307,0.23425099206349206,0.19400492264416316,0.4774063918690476,0.2926622920188882
18,-3.008712085088094,0.22981770833333334,0.1918073136427567,0.4760758487203857,0.2862688057592017
19,-2.9419305907355415,0.22904885912698414,0.18622538677918424,0.4788688715387927,0.2798211217330661
20,-3.0395540608300102,0.2362909226190476,0.1933456399437412,0.4850996632787228,0.2956831081916574
