epoch,loss,running_acc,acc,running_nmi,nmi
1,-2.5264941215515138,0.28498411016949154,0.22068328716528163,0.21945656163515204,0.10698659275339113
2,-2.736658716201782,0.3131091101694915,0.27331486611265005,0.29159735837700435,0.18698836539336636
3,-2.88533501625061,0.3402145127118644,0.2871652816251154,0.32600489941658817,0.2121110048701187
4,-3.073047065734863,0.35713718220338986,0.3028624192059095,0.34149449861518244,0.23278029979049195
5,-3.2061053276062013,0.3860566737288136,0.3407202216066482,0.35569267743761124,0.24746440004282752
6,-3.45948748588562,0.44336599576271185,0.3988919667590028,0.41685505689355795,0.31048309059100354
7,-3.7243659019470217,0.44335275423728815,0.40443213296398894,0.43418677708873055,0.3364327382957998
8,-3.978299140930176,0.4498675847457627,0.4099722991689751,0.4428411931129029,0.3528496569319024
9,-4.177040100097656,0.4493379237288136,0.42105263157894735,0.43453522853084847,0.36622613831724166
10,-4.39136152267456,0.456104343220339,0.4293628808864266,0.44673871775147456,0.37457770323500794
11,-4.588371467590332,0.4798199152542373,0.44783010156971376,0.46881747134658713,0.39227086052184035
12,-4.797103214263916,0.491551906779661,0.43490304709141275,0.4705967943163188,0.3844900712331843
13,-4.862459564208985,0.4884004237288136,0.45060018467220686,0.46874293645266685,0.39035353034732545
14,-5.004235458374024,0.49416048728813566,0.4422899353647276,0.46550442685475985,0.3711330614399433
15,-5.077293109893799,0.4576800847457627,0.41458910433979684,0.43805183525387337,0.35843009200125975
16,-5.203276252746582,0.4631753177966102,0.40166204986149584,0.44290683606956244,0.35614076680297696
17,-5.249893379211426,0.43971133474576274,0.40627885503231764,0.444001203791429,0.3492631948799538
18,-5.334036827087402,0.465770656779661,0.4155124653739612,0.4452764513115084,0.35325431373702293
19,-5.337253475189209,0.44490201271186436,0.4155124653739612,0.43440304378011946,0.3481589237578269
20,-5.415324974060058,0.45271451271186436,0.4293628808864266,0.43341526510615386,0.35045701897572706
21,-5.488522338867187,0.4644597457627119,0.4228993536472761,0.45000994375397846,0.3515923397966111
22,-5.571501445770264,0.4623675847457627,0.41274238227146814,0.43638249360990916,0.34110768658439994
