epoch,loss,running_acc,acc,running_nmi,nmi
1,-0.41860504363162515,0.15478907504012843,0.0936181434599156,0.36233068635120047,0.1438551081745014
2,-0.8961549588803495,0.14038046749598718,0.11370428973277075,0.335869050292287,0.18365921406564523
3,-1.104832259456763,0.15703375802568217,0.11480309423347398,0.38838916995067013,0.20609956793040962
4,-1.2914881317803029,0.17777513041733548,0.1382735583684951,0.4222787224663129,0.23381526962983137
5,-1.4524664704719286,0.20568318619582665,0.16310654008438819,0.46188351069029193,0.2614025928581036
