epoch,loss,running_acc,acc,running_nmi,nmi
1,-0.3252603828069469,0.1247767857142857,0.11625351617440224,0.20646318930525098,0.11982880434481583
2,-0.6653988851441277,0.13214285714285715,0.12398909985935302,0.23299292811711045,0.15076248515880808
3,-0.9769135369194879,0.14364459325396825,0.1429764416315049,0.2751177523741809,0.1982405301429139
4,-1.1569622966978286,0.1566220238095238,0.15365682137834036,0.3100692837838492,0.218117481366414
5,-1.2131757100423177,0.1582279265873016,0.14732770745428972,0.31682644926494374,0.21563246994778032
6,-1.2990837865405613,0.1568204365079365,0.1411744022503516,0.32470929757835854,0.2149481620212337
7,-1.3358152707417805,0.15874875992063492,0.1453498593530239,0.3253429038293849,0.2180695726632659
8,-1.3490560558107165,0.15922619047619047,0.14798699015471167,0.32740080021053614,0.22308463044401336
9,-1.358563854959276,0.16383928571428572,0.15255801687763712,0.33353620207815904,0.22874925978012797
10,-1.3740283939573499,0.16243799603174602,0.15304149085794655,0.3310686746583133,0.22884764900964108
11,-1.38962525261773,0.16766493055555556,0.15181082981715893,0.3369348287976587,0.23213597044243844
12,-1.412583351135254,0.16594122023809524,0.15585443037974683,0.3373181584483857,0.23472281124988262
13,-1.4080709748797946,0.1670076884920635,0.15616209563994374,0.3379694127303893,0.23399952405827726
14,-1.3998446173138088,0.16377728174603176,0.15260196905766527,0.3355312102141012,0.23057523186086154
15,-1.4055542866388957,0.16143353174603176,0.15062412095639943,0.3366347645968575,0.23393156585554198
